tweet_id,retweet,favorites
892420643555336193,6964,33674
892177421306343426,5269,29214
891815181378084864,3463,21963
891689557279858688,7190,36768
891327558926688256,7710,35161
891087950875897856,2583,17734
890971913173991426,1646,10324
890729181411237888,15670,56627
890609185150312448,3602,24406
890240255349198849,6064,27832
890006608113172480,6111,26926
889880896479866881,4138,24463
889665388333682689,8297,41849
889638837579907072,3696,23562
889531135344209921,1873,13306
889278841981685760,4415,22013
888917238123831296,3741,25522
888804989199671297,3510,22376
888554962724278272,2860,17241
888078434458587136,2884,19087
887705289381826560,4514,26510
887517139158093824,9803,40572
887473957103951883,14944,59945
887343217045368832,8772,29471
887101392804085760,4967,26887
886983233522544640,6282,30230
886736880519319552,2612,10457
886680336477933568,3717,19648
886366144734445568,2611,18478
886267009285017600,4,105
886258384151887873,5250,24434
886054160059072513,93,0
885984800019947520,5588,28473
885528943205470208,5305,31463
885518971528720385,3095,17939
885311592912609280,15351,0
885167619883638784,3650,19169
884925521741709313,14934,66969
884876753390489601,4639,24291
884562892145688576,3893,21216
884441805382717440,4774,23775
884247878851493888,16807,62954
884162670584377345,2493,17873
883838122936631299,2848,19076
883482846933004288,8217,40016
883360690899218434,3060,19864
883117836046086144,5510,32364
882992080364220416,3228,20900
882762694511734784,4072,24676
882627270321602560,5037,24512
882268110199369728,9575,39008
882045870035918850,4063,25611
881906580714921986,2837,21362
881666595344535552,8906,44347
881633300179243008,8,113
881536004380872706,13340,43266
881268444196462592,4478,20419
880935762899988482,2325,14987
880872448815771648,3191,18637
880465832366813184,5190,24913
880221127280381952,3444,23564
880095782870896641,3634,24222
879862464715927552,2912,19626
879674319642796034,9,281
879492040517615616,2617,20629
879415818425184262,37236,92436
879376492567855104,2633,14797
879130579576475649,5706,0
879050749262655488,3933,19733
879008229531029506,2230,16714
878776093423087618,3415,17076
878604707211726852,5893,26339
878404777348136964,1069,0
878316110768087041,5497,0
878281511006478336,1069,6754
878057613040115712,5706,37001
877736472329191424,15722,68996
877611172832227328,70,0
877556246731214848,3148,19823
877316821321428993,4319,24055
877201837425926144,4599,23778
876838120628539392,2792,18156
876537666061221889,3960,20985
876484053909872640,1988,16503
876120275196170240,3887,24597
875747767867523072,3563,22022
875144289856114688,4131,19356
875097192612077568,5091,24153
875021211251597312,3952,22477
874680097055178752,3904,24503
874434818259525634,12154,0
874296783580663808,3467,22869
874057562936811520,3366,20042
874012996292530176,8547,30009
873580283840344065,3332,21300
873337748698140672,1325,0
873213775632977920,1325,6300
872967104147763200,4544,23962
872820683541237760,3156,13026
872620804844003328,3057,18260
872486979161796608,7681,35971
872122724285648897,6798,30088
871879754684805121,9204,32946
871762521631449091,2956,17807
871515927908634625,2924,17842
871166179821445120,4876,0
871102520638267392,4648,18481
871032628920680449,3213,20085
870804317367881728,5265,29691
870726314365509632,3,105
870656317836468226,2190,10850
870374049280663552,22645,73671
870308999962521604,3532,19413
870063196459192321,7047,32301
869772420881756160,8656,37878
869702957897576449,5360,24953
869596645499047938,2625,14134
869227993411051520,3180,18075
868880397819494401,12192,57713
868639477480148993,1739,0
868622495443632128,4441,23552
868552278524837888,1739,8924
867900495410671616,3554,21511
867774946302451713,6226,30150
867421006826221569,2109,14290
867072653475098625,100,0
867051520902168576,6753,28596
866720684873056260,4113,17787
866686824827068416,2953,17056
866450705531457537,30040,108435
866334964761202691,12154,46400
866094527597207552,7132,0
865718153858494464,4812,22847
865359393868664832,4268,23499
865006731092295680,6631,24946
864873206498414592,7470,28731
864279568663928832,2568,13022
864197398364647424,7549,26534
863907417377173506,3575,18363
863553081350529029,3610,13620
863471782782697472,2083,0
863432100342583297,4540,21215
863427515083354112,80,1956
863079547188785154,949,7873
863062471531167744,2083,7495
862831371563274240,4441,17172
